iter	RMSE
0	8.715822764
1	7.52087362
2	6.514917026
3	5.807221408
4	5.134950685
5	4.654349829
6	4.207046514
7	3.881444792
8	3.637892673
9	3.458272535
10	3.313934548
11	3.198749794
12	3.086791278
13	2.998305636
14	2.93302067
15	2.872902027
16	2.837360919
17	2.791080241
18	2.757789425
19	2.725982898
20	2.687449838
21	2.657487704
22	2.642121851
23	2.614283732
24	2.602174847
25	2.578025755
26	2.560651526
27	2.545976673
28	2.531736298
29	2.517627632
30	2.471649196
31	2.459968659
32	2.445831029
33	2.440504299
34	2.420840521
35	2.390326783
36	2.3740689
37	2.359260307
38	2.354908672
39	2.3322183
40	2.31680962
41	2.302907572
42	2.283855857
43	2.255455484
44	2.232898465
45	2.228464025
46	2.205416049
47	2.195852199
48	2.180244086
49	2.166369233
50	2.155233837
51	2.137496459
52	2.121718821
53	2.110996808
54	2.103942752
55	2.097713257
56	2.085907912
57	2.070504086
58	2.063762108
59	2.052133911
60	2.043209319
61	2.032446888
62	2.018613738
63	1.995526045
64	1.985573516
65	1.968721535
66	1.959489297
67	1.951056932
68	1.940118594
69	1.92629402
70	1.922586213
71	1.908614083
72	1.896068013
73	1.889889081
74	1.878935371
75	1.863779089
76	1.854933894
77	1.84929068
78	1.839841803
79	1.836745368
