iter	Passed	Remaining
0	0	67
1	1	55
2	1	51
3	2	47
4	3	45
5	3	44
6	4	43
7	4	42
8	5	42
9	6	42
10	6	42
11	7	42
12	8	41
13	8	40
14	9	40
15	9	39
16	10	39
17	11	40
18	12	39
19	13	39
20	13	38
21	15	39
22	15	38
23	16	38
24	16	37
25	17	36
26	18	35
27	18	34
28	19	33
29	19	32
30	20	32
31	20	31
32	21	30
33	21	29
34	22	28
35	22	27
36	23	27
37	23	26
38	24	25
39	24	24
40	25	24
41	25	23
42	26	22
43	26	21
44	27	21
45	27	20
46	28	19
47	28	19
48	29	18
49	29	17
50	30	17
51	30	16
52	31	15
53	31	15
54	31	14
55	32	13
56	32	13
57	33	12
58	33	12
59	34	11
60	34	10
61	35	10
62	36	9
63	36	9
64	37	8
65	37	7
66	38	7
67	39	6
68	39	6
69	40	5
70	41	5
71	41	4
72	42	4
73	42	3
74	43	2
75	43	2
76	44	1
77	44	1
78	45	0
79	45	0
