iter	Passed	Remaining
0	2	289
1	7	381
2	11	374
3	16	380
4	19	364
5	23	356
6	26	350
7	30	343
8	34	337
9	38	335
10	42	332
11	47	342
12	56	370
13	63	379
14	68	376
15	73	375
16	78	375
17	82	366
18	86	359
19	89	349
20	93	343
21	96	333
22	99	325
23	102	317
24	105	308
25	109	302
26	114	299
27	118	295
28	121	290
29	125	283
30	128	278
31	131	271
32	135	266
33	138	260
34	141	255
35	145	250
36	148	244
37	151	239
38	154	233
39	158	229
40	161	225
41	166	221
42	169	216
43	172	211
44	175	207
45	179	202
46	183	199
47	186	194
48	190	190
49	193	186
50	197	181
51	200	177
52	203	172
53	206	168
54	210	164
55	218	163
56	221	159
57	225	155
58	229	151
59	233	147
60	236	143
61	239	139
62	243	135
63	246	130
64	249	126
65	252	122
66	255	118
67	258	114
68	262	110
69	265	106
70	268	102
71	271	98
72	274	94
73	277	90
74	280	86
75	284	82
76	286	78
77	290	74
78	295	70
79	300	67
80	305	64
81	310	60
82	314	56
83	317	52
84	320	48
85	323	45
86	327	41
87	330	37
88	333	33
89	336	29
90	339	26
91	344	22
92	348	18
93	351	14
94	355	11
95	358	7
96	362	3
97	365	0
