iter	Passed	Remaining
0	0	66
1	1	69
2	2	61
3	2	56
4	3	54
5	4	54
6	5	52
7	5	50
8	6	47
9	6	46
10	7	45
11	7	44
12	8	43
13	9	42
14	9	42
15	10	41
16	11	41
17	11	41
18	12	41
19	13	40
20	14	39
21	14	38
22	15	37
23	15	36
24	16	35
25	16	34
26	17	33
27	17	32
28	18	31
29	18	31
30	19	30
31	19	29
32	20	28
33	20	27
34	21	27
35	21	26
36	22	25
37	22	25
38	23	24
39	23	23
40	24	22
41	24	22
42	25	21
43	25	20
44	26	20
45	26	19
46	27	19
47	27	18
48	28	17
49	28	17
50	28	16
51	29	15
52	29	15
53	30	14
54	30	14
55	31	13
56	31	12
57	32	12
58	33	11
59	33	11
60	34	10
61	34	10
62	35	9
63	35	8
64	36	8
65	37	7
66	37	7
67	38	6
68	38	6
69	39	5
70	39	5
71	40	4
72	40	3
73	41	3
74	42	2
75	42	2
76	43	1
77	43	1
78	44	0
79	45	0
