iter	Logloss
0	0.5272406322
1	0.429517527
2	0.363548399
3	0.3254682222
4	0.3014317796
5	0.2825981969
6	0.2738712124
7	0.2624495514
8	0.2541417543
9	0.2462328026
10	0.2428313572
11	0.2393351555
12	0.2375726046
13	0.2359685646
14	0.2348051904
15	0.2307138336
16	0.2290801502
17	0.2250116831
18	0.2241726433
19	0.2223600228
20	0.2209698431
21	0.2205343885
22	0.219424456
23	0.2186488243
24	0.217843785
25	0.2168739214
26	0.2161166178
27	0.2153111054
28	0.214517511
29	0.2138695386
30	0.2126760387
31	0.21163937
32	0.2107699406
33	0.2090194683
34	0.2086360347
35	0.2082093522
36	0.2076528575
37	0.206853109
38	0.2059572148
39	0.2055409016
40	0.2014219059
41	0.2009979866
42	0.2007787496
43	0.2001870618
44	0.1996078632
45	0.1991246385
46	0.197921105
47	0.1966049057
48	0.1957079359
49	0.1951578295
50	0.1936891438
51	0.1927402138
52	0.1921552264
53	0.1914168815
54	0.1906714161
55	0.1896077861
56	0.1888820523
57	0.1881727121
58	0.1875065943
59	0.1871229655
60	0.1864283441
61	0.1854079691
62	0.1846052123
63	0.1840825511
64	0.1832767531
65	0.1825421347
66	0.1818081829
67	0.1809630904
68	0.1804903365
69	0.1801153409
70	0.1795438435
71	0.1790853461
72	0.178770972
73	0.1781176916
74	0.1775834248
75	0.1769810866
76	0.1761749639
77	0.1758169959
78	0.1754827903
79	0.1749642444
80	0.1743438764
81	0.1737809155
82	0.1732935069
83	0.172494297
84	0.1717849834
85	0.1714740548
86	0.1705282581
87	0.1700190058
88	0.1696473589
89	0.1694074989
90	0.1690599111
91	0.1686048014
92	0.1681950013
93	0.1673032567
94	0.1668963494
95	0.1665277015
96	0.1656884322
97	0.1647670692
