iter	Passed	Remaining
0	3	310
1	6	308
2	10	322
3	14	335
4	18	338
5	21	322
6	24	313
7	27	305
8	30	297
9	33	293
10	36	287
11	39	282
12	42	278
13	46	276
14	51	282
15	54	280
16	58	276
17	61	273
18	67	280
19	71	280
20	80	295
21	84	293
22	89	290
23	96	296
24	99	290
25	102	282
26	104	275
27	107	269
28	110	263
29	112	255
30	115	250
31	118	244
32	121	239
33	124	234
34	127	229
35	130	224
36	132	219
37	135	214
38	138	209
39	141	204
40	143	199
41	146	195
42	149	191
43	152	187
44	155	182
45	157	178
46	160	174
47	164	171
48	167	167
49	170	163
50	172	159
51	175	155
52	178	151
53	181	148
54	184	144
55	186	140
56	189	136
57	192	132
58	194	128
59	197	125
60	200	121
61	203	117
62	205	114
63	208	110
64	210	107
65	213	103
66	216	100
67	218	96
68	221	93
69	223	89
70	226	86
71	229	82
72	231	79
73	234	75
74	236	72
75	239	69
76	242	66
77	244	62
78	247	59
79	250	56
80	253	53
81	255	49
82	258	46
83	261	43
84	264	40
85	266	37
86	269	34
87	272	30
88	274	27
89	277	24
90	279	21
91	282	18
92	284	15
93	287	12
94	290	9
95	293	6
96	296	3
97	299	0
